,,,Home,ML,Percent Bet ML,Spread,Percent Bet Spread,Odds of Spread,O/U,Percent Bet O/U,Odds of O/U,ML WL,Spread WL,O/U WL,,,Home,Percent Bet O/U,O/U WL
,,,1,-118,48,-1.5,51,-110,221.5,67,-110,0,0,0,,,,,
,26-Apr,Pelicans vs Suns,0,200,35,6,61,-110,216,54,-110,0,0,0,,,,,
,,,1,-245,65,-6,39,-110,216,46,-110,1,1,1,,,,,
,26-Apr,Timberwolves vs Grizzlies ,0,220,31,6.5,39,-110,231.5,34,-110,0,1,0,,,,,
,,,1,-270,69,-6.5,61,-110,231.5,66,-110,1,0,1,,,,,
,26-Apr,Hawks vs Heat,0,160,26,4.5,28,-110,215.5,36,-110,0,1,0,,,,,
,,,1,-190,74,-4.5,72,-110,215.5,64,-110,1,0,1,,,,,
,27-Apr,Nuggets vs Warriors ,0,315,38,8.5,37,-110,225.5,42,-110,0,1,0,,,,,
,,,1,-400,62,-8.5,63,-110,225.5,58,-110,1,0,1,,,,,
,27-Apr,Bulls vs Bucks ,0,610,12,12.5,40,-110,217.5,58,-110,0,0,0,,,,,
,,,1,-900,88,-12.5,60,-110,217.5,42,-110,1,1,1,,,,,
,28-Apr,Mavericks vs Jazz,0,-118,88,-1,80,-110,210.5,47,-110,1,1,0,,,,,
,,,1,-102,12,1,20,-110,210.5,53,-110,0,0,1,,,,,
,28-Apr,76ers vs Raptors,0,-116,53,-1,53,-110,209.5,48,-110,1,1,1,,,,,
,,,1,-102,47,1,47,-110,209.5,52,-110,0,0,0,,,,,
,28-Apr,Suns vs Pelicans,0,-162,78,-3.5,74,-110,216,43,-110,1,1,1,,,,,
,,,1,136,22,3.5,26,-110,216,57,-110,0,0,0,,,,,
,29-Apr,Grizzlies vs Timberwolves,0,-130,58,-2,60,-110,229.5,63,-110,1,1,0,,,,,
,,,1,11,42,2,40,-110,229.5,37,-110,0,0,1,,,,,
,1-May,Warriors vs Nuggets,0,-138,81,-2.5,81,-110,222.5,45,-110,1,0,1,,,,,
,,,1,118,19,2.5,19,-110,222.5,55,-110,0,1,0,,,,,
,1-May,Bucks vs Celtics,0,162,29,4.5,46,-110,218,43,-110,1,1,0,,,,,
,,,1,-194,71,-4.5,54,-110,218,57,-110,0,0,1,,,,,
,2-May,Mavericks vs Suns,0,210,25,6,52,-110,214,45,-110,0,0,1,,,,,
,,,1,-255,75,-6,48,-110,214,55,-110,1,1,0,,,,,
,2-May,76ers vs Heat,0,270,20,8,43,-110,208.5,44,-110,0,0,0,,,,,
,,,1,-335,80,-8,57,-110,208.5,56,-110,1,1,1,,,,,
,3-May,Warriors vs Grizzlies,0,-130,55,-2,54,-110,227.5,53,-110,0,0,0,,,,,
,,,1,110,45,2,46,-110,227.5,47,-110,1,1,1,,,,,
,3-May,Bucks vs Celtics,0,152,36,4,63,-110,215.5,53,-110,0,0,0,,,,,
,,,1,-180,64,-4,37,-110,215.5,47,-110,1,1,1,,,,,
,4-May,Mavericks vs Suns,0,210,30,6.5,46,-110,217.5,25,-110,0,0,1,,,,,
,,,1,-255,70,-6.5,54,-110,217.5,75,-110,1,1,0,,,,,
,4-May,76ers vs Heat,0,295,26,8,44,-110,208.5,33,-110,0,0,1,,,,,
,,,1,-370,74,-8,56,-110,208.5,67,-110,1,1,0,,,,,
,6-May,Suns vs Mavericks,0,-104,56,1,57,-110,217.5,37,-110,0,0,0,,,,,
,,,1,-112,44,-1,43,-110,217.5,63,-110,1,1,1,,,,,
,6-May,Heat vs 76ers,0,-102,58,1,69,-110,210.5,48,-110,0,0,0,,,,,
,,,1,-116,42,-1,31,-110,210.5,52,-110,1,1,1,,,,,
,7-May,Grizzlies vs Warriors,0,240,18,7,49,-110,225.5,43,-110,0,0,1,,,,,
,,,1,-195,82,-7,51,-110,225.5,57,-110,1,1,0,,,,,
,7-May,Celtics vs Bucks,0,118,31,2.5,41,-110,212,35,-110,0,1,0,,,,,
,,,1,-138,69,-2.5,59,-110,212,65,-110,1,0,1,,,,,
,8-May,Heat vs 76ers,0,118,43,2,45,-110,208,34,-110,0,0,1,,,,,
,,,1,-138,57,-2,55,-110,208,66,-110,1,1,0,,,,,
,8-May,Suns vs Mavericks,0,-156,86,-3,73,-110,214.5,37,-110,0,0,0,,,,,
,,,1,132,14,3,27,-110,214.5,63,-110,1,1,1,,,,,
,9-May,Grizzlies vs Warriors,0,420,21,9.5,39,-110,222.5,46,-110,0,1,0,,,,,
,,,1,-560,79,-9.5,61,-110,222.5,54,-110,1,0,1,,,,,
,9-May,Celtics vs Bucks,0,106,62,1.5,56,-110,213.5,47,-110,1,1,1,,,,,
,,,1,-124,38,-1.5,44,-110,213.5,53,-110,0,0,0,,,,,
